ID,Title,Description
0,"Шағын зерттеу","Жай ғана шағын зерттеу. Интернеттен іздеу, жасанды интеллектке жүгіну және барлық ақпаратты бір деректер жиынтығына жинау."
1,"Мақсатты аудиторияны зерттеу","Сіздің негізгі тұтынушыңыз кім? Сіздің қызметіңізден кім пайда көреді? Құндылықты кімге жеткізе аласыз?"
2,"Техникалық зерттеу","Қалаған заттарды қалай жасауға болады? Сіз қандай технологияларды қолданасыз? Олар қалай бірге жұмыс істей алады?"
3,"Толық ауқымды зерттеу","Сіз өзіңіздің барлық ресурстарыңыз бен күш-жігеріңізді өніміңізді мүмкіндігінше талаптарға сай етуге бағыттайсыз. Бұл ұзақ мерзімді перспективада көмектеседі... мүмкін."
4,"Негізгі прототип","Бұл прототип сіздің идеяңыздың жұмыс істейтінін көрсетеді. Ия, ол жетілмеген, қателіктер бар, бірақ ол негізгі тұжырымдаманы көрсетеді."
5,"Қызмет прототипі","Бұл техникалық прототип емес. Сізде жұмыс парағы бар және сіз келген әрбір клиентпен қалғанын қолмен жасауыңыз керек."
6,"Техникалық прототип","Енді сіз бәрі техникалық жағынан қалай жұмыс істейтінін білесіз. Пайдаланушы тәжірибесі? Жоқ, естіген жоқпын."
7,"MVP","Бұл MVP бәрін дәлелдейді және сіз оны таңдалған аудиторияға жібере аласыз. Ол жақсы жобаланған. Жақсы жасалған. Және оны құруға уақыт пен күш жұмсалды."
8,"Тек Миссия","Енді сіздің командаңыз белгілі бір сатылар не үшін істелініп жатқаныңызды түсінеді."
9,"Құндылықтар және стратегия","Құндылықтар сіздің командаңызға маңызды шешімдер қабылдауға көмектеседі. Стратегия оларды осы шешімдерді қабылдауға бағыттайды."
10,"Құндылықтар мен миссия","Құндылықтар сіздің командаңызға маңызды шешімдер қабылдауға көмектеседі. Миссия оларға осы шешімдерді қабылдауға мақсат береді."
11,"Құндылықтар, миссия және стратегия","Сіз бәрін жасауға шешім қабылдадыңыз. Енді сіздің командаңыз неге, қалай және қандай шешімдер қабылдау керектігін біледі. Бұл сенімділікті тудырады."
12,"Ішкі тестілеу","Сіздің командаңыз бен достарыңыз өнімді сынау үшін жеткілікті. Аудиторияны жинаудың қажеті жоқ."
13,"Орта фокус тобында тестілеу","Сіздің тест тобыңыз сіздің аудиторияңыздан және жаңа пайдаланушылардан бірнеше ондаған адамнан тұрады. Бұл сіздің өніміңіздегі маңызды сәттерді анықтауға көмектеседі."
14,"Шын өмірдегі тестілеу","Бұл сіздің өніміңізді желіде жариялау және оны пайдалану үшін пайдаланушыларды тарту салыстырмалы түрде жақсы идея. Егер сіз, әрине, туындаған барлық мәселелерді тез шешуге дайын болсаңыз."
15,"Пайдаланушы топтарымен каскадты тестілеу","Әрқайсысы алдыңғысынан үлкенірек бірнеше кезеңнен тұратын толық ауқымды тестілеу. Сіз бәрін дайындап, орындадыңыз."
16,"Веб-сайт құру","Сізге міндетті түрде веб-сайт қажет. Тағы да бір нәрсе? Екіталай."
17,"Әлеуметтік медианы орнату","Дұрыс әлеуметтік медиа аккаунтымен бәрін жасауға болатын кезде веб-сайт кімге керек?"
18,"Веб-сайт және әлеуметтік медиа","Әлеуметтік медиа арқылы аудиторияны тарту оңайырақ, бірақ олар соңында бір жерде түпкілікті жиналуы керек."
19,"Толық маркетингтік стратегия","Әлеуметтік медиа, веб-сайт, Қауымдастық орталығы, пресс-релиздер және ықпалды тұлғалармен байланыс. Табысқа жету үшін мұның бәрі қажет."
20,"Бір сервер","Қарапайым бэкенд әбден жеткілікті болады, өйткені инфрақұрылымға қосымша ақша жұмсап неге аландауымыз керек? Не болуы мүмкін?"
21,"Бұлтты инфрақұрылым","Егер біз бұлтты қолдана алсақ, өз серверімізді құру туралы неге алаңдаймыз? Бұл сәл қымбатырақ, бірақ әлдеқайда ыңғайлы."
22,"Бірнеше серверлер","Біз өз клиенттерімізге тұрақты қызмет көрсету үшін мұны қажетті сенімділікпен қалай жасау керектігін білеміз."
23,"Инфрақұрылымы бар DevOps командасы","Инфрақұрылымды мұқият жоспарлау қажет және ол қолдауды талап етеді. Сондықтан біз осы жобаны жүзеге асыруға көмектесу үшін DevOps командасын жалдауымыз керек."
24,"Интерфейс арқылы өтініш","Барлық құжаттарды дайындап, оларды DPG веб-сайтындағы нұсқауларға сәйкес жіберіңіз."
25,"Көмек алу үшін DPG кеңсесіне хабарласыңыз","Егер олар көмектесе алса, біз мұны DPG кеңсесінің көмегімен жасай аламыз."
26,"Тек қана SDG сәйкестігіне жүгініңіз","Сіз өніміңіздің Тұрақты Даму Мақсаттарына сәйкес келетіндігін тексердіңіз. Олай болса, неге алаңдайсыз? Ол әлі де жұмыс істейді."
27,"DPG көрсеткіштерін тексеру","Сізде чек-лист бар, сондықтан сіз барлық 9 көрсеткіштен өтіп, өтінішіңізді дұрыс дайындайсыз."
28,"Релизтік маркетингтік компаниясы"," Сіздің командаңыз толығымен релизге арналған маркетингтік науқанға бағытталған. Техникалық жағы екінші орынға шығады."
29,"Релизтік іс-шара","Аудиторияны қызықтыру үшін тек бітіру кешін өткізіңіз. Олар трансляцияны көреді және сіздің өніміңізді пайдаланады."
30,"Релизге арналған біршама дайындық","Сізде бәрін жасауға уақыт жеткіліксіз екені анық, бірақ сіз негізгі мәселелерді шешіп, науқанды лайықты деңгейде дайындай аласыз."
31,"Релизге толық дайындық","Сіздің командаңыз бәріне назар аудара отырып, шығарылымда жұмыс істейді. Бұл уақытты алады, бірақ сізде бар болғандықтан, сіз оған қол жеткізе аласыз."
32,"Тек қажетті қолдау","Бізде толық қолдау үшін жеткілікті ресурстар жоқ, сондықтан біз тек қажетті заттарды ғана жасаймыз."
33,"Клиенттерге телефон және электрондық пошта арқылы қолдау көрсету",Біз клиенттерге телефон және электрондық пошта арқылы қолдау көрсетеміз."
34,"Liveops-пен қолдау","Біз қолдауды ұйымдастырып қана қоймай, клиенттеріміз үшін іс-шараларды үнемі өткіземіз (LiveOPS)."
35,"Аутсорсингтік қолдау","Бізге клиенттерге қолдау көрсету үшін біздің команданың қажеті жоқ. Мұны біз үшін жасау үшін аутсорсингтік компанияны жалдайық!"
