key,translation
START,Start
SETTINGS,Settings
CREDITS,Credits
BACK,Back
PROCEED,Proceed
DATE,Date
DPGS,DPGs
RATE,Rate
BUDGET,Budget
COST,Cost
TIME,Time
FIT_PTS,Fit points
DEV_PTS,Dev points
MARKET_PTS,Market points
PROJECT_PROGRESS,Project progress
NEXT_PHASE,Next phase
FINISH_GAME,Finish game
SKIP,Skip
TEAM,Team
TEAM_SIZE,Team size
ACTIONS,Actions
PROJECT,Project
GAME_OVER,This is it...
GAME_OVER_DESCR,You have spend all available funds with no delivery. Statistically speaking it's a common situation. Great thing - it is a game. Just try again!
YOU_WIN,Congratulations! Your product was successful!
RESTART,Play again
SCORES,Scores
SFX,Sound effects
MUSIC,Music
ON,On
OFF,Off
CONTINUE,Continue
EXIT,Exit
RESEARCH,Research phase
PROTOTYPING,Prototyping phase
TEAM_RECRUIT,Team recruitment phase
MVP,MVP phase
MARKET_VAL,Market validation phase
DEVELOPMENT,Development phase
DPG_STATUS_APP,DPG status application
RELEASE,Release phase
OPERATION,Operation phase
MAP_POPUP_TITLE,World map
MAP_POPUP_DESC,Select a region to start creating your product
SCENARIO_POPUP_TITLE,Welcome!
SCENARIO_POPUP_DESC,Session description goes here…
,
,
,
,
,
,
,
,
,
scenarios:,
COL_RENT_TITLE,Collective rent
COL_RENT_DESCR,It is so hard to rent a flat in a big city! Here you will create a website to address this issue.
SCHOOL_APP_TITLE,School engagement app
SCHOOL_APP_DESCR,"In this scenario, you will develop an app to engage students in their studies."
